backend,size,tile_m,tile_n,tile_k,occupancy,compile_ms,first_launch_ms,steady_latency_ms,tflops,latency_std_ms,pct_peak,max_err
cuTile,256,128,64,64,,586.1914259730838,9.061510965693742,0.011801600145796934,2.8432103770224924,0.0006268734035466203,2.002260828889079,0.05117225646972656
cuTile,256,128,64,64,1,596.6335330158472,8.941232052166015,0.011936000175774097,2.8111956690570223,0.0008037034886079566,1.9797152598993113,0.05117225646972656
cuTile,256,128,64,64,2,584.3681420083158,9.037470968905836,0.012966400260726612,2.587798565931334,0.0026096308669886535,1.822393356289672,0.05117225646972656
cuTile,256,128,64,64,4,601.2822680058889,87.80378801748157,0.010045866419871648,3.3401232504571476,0.00038850100797375753,2.352199472152921,0.05117225646972656
cuTile,256,128,64,64,8,602.2128740441985,8.935340971220285,0.012292266823351383,2.7297188128276955,0.0013499229840409051,1.92233719213218,0.05117225646972656
cuTile,256,64,128,64,,607.497098040767,8.755662012845278,0.013380266601840655,2.5077551141906307,0.0008742396779288443,1.766024728303261,0.05117225646972656
cuTile,256,64,128,64,1,610.808276978787,8.888231008313596,0.012765866890549659,2.628449151764205,0.0006330788151519463,1.851020529411412,0.05117225646972656
cuTile,256,64,128,64,2,589.3993860227056,8.761401986703277,0.012902400208016236,2.600634878706731,0.0007288883700737144,1.8314330131737542,0.05117225646972656
cuTile,256,64,128,64,4,620.36000599619,10.70494600571692,0.013107200028995673,2.5599999943367826,0.0007662911778217484,1.8028168974202694,0.05117225646972656
cuTile,256,64,128,64,8,624.5251930085942,102.10972203640267,0.01399253321190675,2.39802410984791,0.0019316434122098524,1.6887493731323306,0.05117225646972656
cuTile,256,128,128,32,,1771.3028350262903,8.632523007690907,0.01870506691435973,1.7938685893842237,0.0006961856481935063,1.2632877390029744,0.034881591796875
cuTile,256,128,128,32,1,1771.7574329581112,8.928872004617006,0.019044266641139986,1.7619177798904961,0.0007307275958543723,1.2407871689369692,0.034881591796875
cuTile,256,128,128,32,2,1736.0109580331482,9.194580023176968,0.020213332896431287,1.660014811606062,0.0006905546638535194,1.1690245152155367,0.034881591796875
cuTile,256,128,128,32,4,1746.399834053591,10.972435004077852,0.03747840126355489,0.8953005162637321,0.0008191995322706197,0.6304933213124874,0.034881591796875
cuTile,256,128,128,32,8,1774.3759330478497,8.501182950567454,0.019037866840759914,1.762510069046194,0.0007212870234197268,1.2412042739761928,0.034881591796875
cuTile,256,128,128,64,,1588.6300599668175,8.783312048763037,0.018976000199715296,1.7682563051671671,0.0007339095626212426,1.2452509191318077,0.05117225646972656
cuTile,256,128,128,64,1,1589.0775980078615,9.105291042942554,0.018833066895604135,1.781676462256501,0.0011719087727318385,1.2547017339834514,0.05117225646972656
cuTile,256,128,128,64,2,1550.0483139767312,8.709451998583972,0.017676800241072974,1.8982186562268502,0.0007918777031200963,1.3367737015682044,0.05117225646972656
cuTile,256,128,128,64,4,1591.2051299819723,8.563092967960984,0.01869653376440207,1.794687315992612,0.0005841747104137567,1.2638643070370508,0.05117225646972656
cuTile,256,128,128,64,8,1594.6160390158184,8.771502005401999,0.018702933564782143,1.7940732069531282,0.0008699340616755621,1.2634318358824848,0.05117225646972656
cuTile,256,128,128,128,,1500.7054210291244,8.567532000597566,0.017337600141763686,1.9353562041826302,0.0021284277087775154,1.362926904353965,0.06689453125
